turn_id,char_len,length_bin,slowtrack_total_ms
0b4dd614-c4dd-42ed-9a7a-a83bdd30bcb9,221,200-500자,2418.37
10de76a8-b178-44aa-94b5-8a8a88cd6a61,210,200-500자,2024.074
1c1dd47c-3a36-4380-a262-1a394187246b,264,200-500자,1807.728
1d0315f2-2a19-4ee9-8ca0-6a4886381927,212,200-500자,2383.8289999999997
27326411-7ba6-411f-a01c-ad64d27a323e,262,200-500자,1898.4579999999999
3446b286-768b-41e6-87d0-f19c4e860cb1,307,200-500자,2322.901
3fa4c20d-7595-4032-a2d5-0f7507462648,305,200-500자,2552.044
415c20ca-0b00-44e9-8c36-cdef92e95b6f,275,200-500자,2248.049
4181dbad-d246-437c-960a-8dfe7e7018c5,342,200-500자,2489.874
42398eec-5f32-4e0e-8049-e14131970227,212,200-500자,2352.55
47f6e94b-b199-4c8f-be0d-71ecefa958fa,195,100-200자,2223.057
4d77576c-9ec5-4f3f-a679-2df03a8116db,221,200-500자,2332.947
53d0caae-7eb6-4edc-864b-1fafe786da90,314,200-500자,2336.802
58273d1b-55f2-4371-9708-f357aeb7c424,263,200-500자,2314.379
5a09ab06-8f51-4bed-92d9-f8e45790fa1e,231,200-500자,2176.007
5b08b4e9-dd33-466d-aa9f-e93a2bc0dbac,242,200-500자,2427.404
616210fb-2b4c-4bf9-b68f-c1614774ff26,245,200-500자,2361.978
642329ab-82d6-497f-9a75-7b27f69f9460,345,200-500자,2552.367
6e36df62-3780-4e02-8f3a-4870be2c3658,342,200-500자,2346.1730000000002
72be64b2-a9c3-4e84-877b-7f2d6e73ce54,204,200-500자,2303.285
79114508-1ed2-4507-97a4-90b3ed7d5f48,307,200-500자,2247.228
7c0a8119-f69b-4085-8a98-e58c802d00e3,227,200-500자,1992.777
81481dcf-e81b-4448-a5db-e3b646a7f373,237,200-500자,1900.3919999999998
8513e09c-ff26-439c-a18f-c2825bbf8a69,300,200-500자,2217.581
8885e1ff-16da-4672-8e8f-f77d861692da,287,200-500자,2278.1800000000003
8db7f4d4-5263-4936-92e9-b83fe6375915,222,200-500자,2416.565
8e2a847f-a409-4928-9ffb-24f561d7cbc4,288,200-500자,2591.352
9885a191-a960-43e4-bd41-d06afad0d62d,218,200-500자,2324.947
9e12ef3c-2a07-4ddf-96fb-29a97068c7be,228,200-500자,2311.692
a09550e8-916b-4c9b-a637-12163818bb6f,246,200-500자,2196.027
a93933d3-b379-4f97-95ff-72bf40509aaf,287,200-500자,2312.212
b1de92f4-a41d-4adf-87e7-c5fcb28c5128,216,200-500자,2315.459
b305d4ef-ed03-4f73-895b-9ae31fe2fda9,262,200-500자,2278.091
b5627644-0bf5-479e-b80b-a743267f32ec,232,200-500자,2287.486
b9b7a99f-f04b-4e54-8b64-b3885aba49df,292,200-500자,2510.694
cfe8eefd-a626-4db7-8e90-885e22d5aaa9,237,200-500자,2294.314
d2a43f48-68c3-4a0b-9d2e-35f5f340c549,289,200-500자,2383.129
dad4a4a0-5834-461a-973c-81b076b7caee,249,200-500자,2150.638
e7955884-590d-484d-ae7d-25597a0a741f,297,200-500자,2325.851
fac25a17-cf70-4eff-bfa3-dbc19b7420f2,250,200-500자,2400.167
fac744ca-2318-4eea-845b-d3b631dada18,207,200-500자,2425.051
fb7dac40-60ea-4070-84e4-845f49ed48b5,208,200-500자,2502.325
