turn_id,char_len,length_bin,fasttrack_total_ms
0a9c1265-7ba3-4f6e-90a1-9235e44b1fae,743,500-1000자,17.182000000000002
0b4dd614-c4dd-42ed-9a7a-a83bdd30bcb9,122,100-200자,12.649000000000001
10de76a8-b178-44aa-94b5-8a8a88cd6a61,84,10-100자,14.133
1a214a58-96bc-45e8-82de-c8afa70861b2,740,500-1000자,14.365
1d0315f2-2a19-4ee9-8ca0-6a4886381927,182,100-200자,12.01
27326411-7ba6-411f-a01c-ad64d27a323e,84,10-100자,20.061999999999998
3082d6a7-6ed1-4c47-87c8-bb1dff864a71,743,500-1000자,17.626
3446b286-768b-41e6-87d0-f19c4e860cb1,209,200-500자,24.578
3fa4c20d-7595-4032-a2d5-0f7507462648,122,100-200자,284.849
4181dbad-d246-437c-960a-8dfe7e7018c5,743,500-1000자,37.577
42398eec-5f32-4e0e-8049-e14131970227,209,200-500자,12.850000000000001
47f6e94b-b199-4c8f-be0d-71ecefa958fa,738,500-1000자,12.607
4d77576c-9ec5-4f3f-a679-2df03a8116db,703,500-1000자,14.591
53d0caae-7eb6-4edc-864b-1fafe786da90,713,500-1000자,9.891
58273d1b-55f2-4371-9708-f357aeb7c424,122,100-200자,14.431
5a09ab06-8f51-4bed-92d9-f8e45790fa1e,740,500-1000자,17.334
5b08b4e9-dd33-466d-aa9f-e93a2bc0dbac,209,200-500자,14.196
616210fb-2b4c-4bf9-b68f-c1614774ff26,84,10-100자,21.627000000000002
642329ab-82d6-497f-9a75-7b27f69f9460,703,500-1000자,24.41
694d93f4-6bd6-4679-b165-50d82bf98188,711,500-1000자,14.579
6e36df62-3780-4e02-8f3a-4870be2c3658,209,200-500자,9.857
78c3871a-c77c-48d7-9f4e-cae455582814,711,500-1000자,23.855999999999998
79114508-1ed2-4507-97a4-90b3ed7d5f48,738,500-1000자,13.293
79647150-503a-4782-bad6-94e0d4b56e95,711,500-1000자,12.193
7c0a8119-f69b-4085-8a98-e58c802d00e3,743,500-1000자,11.915000000000001
81481dcf-e81b-4448-a5db-e3b646a7f373,713,500-1000자,16.896
8513e09c-ff26-439c-a18f-c2825bbf8a69,122,100-200자,13.813
8b3e1d36-6351-4460-bccc-a043404158b9,713,500-1000자,14.908999999999999
8db7f4d4-5263-4936-92e9-b83fe6375915,122,100-200자,14.597
8e2a847f-a409-4928-9ffb-24f561d7cbc4,84,10-100자,12.198
9e12ef3c-2a07-4ddf-96fb-29a97068c7be,182,100-200자,15.216000000000001
a09550e8-916b-4c9b-a637-12163818bb6f,182,100-200자,7.753
a93933d3-b379-4f97-95ff-72bf40509aaf,182,100-200자,12.271
b5627644-0bf5-479e-b80b-a743267f32ec,182,100-200자,13.544
bb02087f-8bc9-4b9f-8559-d999f07c075b,715,500-1000자,15.281
bb3bed0a-04ac-48aa-850d-8453c7d76fef,740,500-1000자,25.729
cfe8eefd-a626-4db7-8e90-885e22d5aaa9,84,10-100자,15.683
d2a43f48-68c3-4a0b-9d2e-35f5f340c549,740,500-1000자,16.474
e1aa9d2d-2da4-4f6f-b534-f3ce1e5a92a5,715,500-1000자,16.089000000000002
fac744ca-2318-4eea-845b-d3b631dada18,209,200-500자,15.018
fb7dac40-60ea-4070-84e4-845f49ed48b5,122,100-200자,11.632
