condition_id,policy,slowtrack_load_profile,frontend_profile,scenario_profile,turns,fasttrack_enabled,first_response_ready_ms_n,first_response_ready_ms_mean_ms,first_response_ready_ms_median_ms,first_response_ready_ms_p25_ms,first_response_ready_ms_p75_ms,first_response_ready_ms_p95_ms,first_response_ready_ms_min_ms,first_response_ready_ms_max_ms,first_response_ready_ms_p_lt_100ms,first_response_ready_ms_p_lt_500ms,first_response_ready_ms_p_gt_2000ms,fasttrack_ready_ms_n,fasttrack_ready_ms_mean_ms,fasttrack_ready_ms_median_ms,fasttrack_ready_ms_p25_ms,fasttrack_ready_ms_p75_ms,fasttrack_ready_ms_p95_ms,fasttrack_ready_ms_min_ms,fasttrack_ready_ms_max_ms,fasttrack_ready_ms_p_lt_100ms,fasttrack_ready_ms_p_lt_500ms,fasttrack_ready_ms_p_gt_2000ms,slowtrack_compute_ms_n,slowtrack_compute_ms_mean_ms,slowtrack_compute_ms_median_ms,slowtrack_compute_ms_p25_ms,slowtrack_compute_ms_p75_ms,slowtrack_compute_ms_p95_ms,slowtrack_compute_ms_min_ms,slowtrack_compute_ms_max_ms,slowtrack_compute_ms_p_lt_100ms,slowtrack_compute_ms_p_lt_500ms,slowtrack_compute_ms_p_gt_2000ms,full_answer_ready_ms_n,full_answer_ready_ms_mean_ms,full_answer_ready_ms_median_ms,full_answer_ready_ms_p25_ms,full_answer_ready_ms_p75_ms,full_answer_ready_ms_p95_ms,full_answer_ready_ms_min_ms,full_answer_ready_ms_max_ms,full_answer_ready_ms_p_lt_100ms,full_answer_ready_ms_p_lt_500ms,full_answer_ready_ms_p_gt_2000ms,hidden_latency_ms_n,hidden_latency_ms_mean_ms,hidden_latency_ms_median_ms,hidden_latency_ms_p25_ms,hidden_latency_ms_p75_ms,hidden_latency_ms_p95_ms,hidden_latency_ms_min_ms,hidden_latency_ms_max_ms,hidden_latency_ms_p_lt_100ms,hidden_latency_ms_p_lt_500ms,hidden_latency_ms_p_gt_2000ms,donation_readout_tts_ms_n,donation_readout_tts_ms_mean_ms,donation_readout_tts_ms_median_ms,donation_readout_tts_ms_p25_ms,donation_readout_tts_ms_p75_ms,donation_readout_tts_ms_p95_ms,donation_readout_tts_ms_min_ms,donation_readout_tts_ms_max_ms,donation_readout_tts_ms_p_lt_100ms,donation_readout_tts_ms_p_lt_500ms,donation_readout_tts_ms_p_gt_2000ms
c035_emotion_only_expanded_memory_capture_stress_chat_only,emotion_only,expanded_memory,capture_stress,chat_only,4000,1,4000,186.135,182.514,155.12,215.376,260.12,94.836,294.512,0.002,1.0,0.0,4000,15.189,15.031,14.421,16.007,16.927,13.726,17.192,1.0,1.0,0.0,4000,3274.028,3279.506,3140.81,3417.632,3598.511,2548.654,3934.514,0.0,0.0,1.0,4000,3444.974,3452.78,3310.17,3590.153,3779.062,2700.45,4123.08,0.0,0.0,1.0,4000,3258.839,3264.436,3125.59,3402.777,3583.508,2533.745,3919.953,0.0,0.0,1.0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c036_emotion_only_expanded_memory_capture_stress_donation_mix,emotion_only,expanded_memory,capture_stress,donation_mix,4000,1,4000,185.941,181.168,156.031,215.189,257.573,95.933,293.218,0.001,1.0,0.0,4000,15.167,15.031,14.373,15.853,16.927,13.726,17.192,1.0,1.0,0.0,4000,3272.903,3280.552,3138.28,3416.124,3602.809,2539.49,3966.45,0.0,0.0,1.0,4000,3443.677,3452.635,3306.066,3587.954,3784.767,2674.915,4159.454,0.0,0.0,1.0,4000,3257.736,3264.865,3122.365,3400.849,3587.502,2524.941,3950.835,0.0,0.0,1.0,4000,214.794,0.0,0.0,446.238,558.604,0.0,558.604,0.557,0.77925,0.0
c037_emotion_only_heavy_context_backend_ready_chat_only,emotion_only,heavy_context,backend_ready,chat_only,4000,1,4000,18.84,18.723,17.452,20.169,22.209,14.014,24.964,1.0,1.0,0.0,4000,15.184,15.031,14.373,16.007,16.927,13.726,17.192,1.0,1.0,0.0,4000,4582.373,4599.753,4389.492,4785.296,5061.547,3545.408,5698.865,0.0,0.0,1.0,4000,4586.029,4603.457,4392.727,4789.041,5064.477,3547.552,5704.259,0.0,0.0,1.0,4000,4567.189,4584.834,4374.431,4769.646,5045.12,3528.216,5684.571,0.0,0.0,1.0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c038_emotion_only_heavy_context_backend_ready_donation_mix,emotion_only,heavy_context,backend_ready,donation_mix,4000,1,4000,18.819,18.7,17.402,20.123,22.141,14.177,24.635,1.0,1.0,0.0,4000,15.179,15.031,14.373,15.853,16.927,13.726,17.192,1.0,1.0,0.0,4000,4572.768,4597.115,4375.083,4784.421,5038.942,3561.028,5487.391,0.0,0.0,1.0,4000,4576.409,4601.146,4379.44,4788.23,5043.381,3565.841,5491.559,0.0,0.0,1.0,4000,4557.59,4582.428,4360.1,4769.325,5024.124,3547.174,5472.83,0.0,0.0,1.0,4000,219.887,0.0,0.0,446.238,558.604,0.0,558.604,0.5475,0.7725,0.0
c039_emotion_only_heavy_context_local_browser_chat_only,emotion_only,heavy_context,local_browser,chat_only,4000,1,4000,66.608,65.242,56.094,76.595,92.317,34.827,104.843,0.98975,1.0,0.0,4000,15.162,15.031,14.373,15.853,16.927,13.726,17.192,1.0,1.0,0.0,4000,4578.91,4593.234,4383.081,4780.611,5069.858,3600.459,5610.561,0.0,0.0,1.0,4000,4630.356,4644.214,4435.245,4832.15,5118.436,3638.43,5691.821,0.0,0.0,1.0,4000,4563.748,4578.226,4368.036,4765.875,5055.251,3585.311,5594.452,0.0,0.0,1.0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c040_emotion_only_heavy_context_local_browser_donation_mix,emotion_only,heavy_context,local_browser,donation_mix,4000,1,4000,67.031,65.528,56.235,77.19,92.776,36.456,105.318,0.992,1.0,0.0,4000,15.182,15.055,14.421,16.007,16.927,13.726,17.192,1.0,1.0,0.0,4000,4577.258,4590.275,4382.916,4785.246,5062.53,3572.917,5607.509,0.0,0.0,1.0,4000,4629.107,4644.735,4434.022,4837.127,5115.471,3606.902,5680.482,0.0,0.0,1.0,4000,4562.075,4575.189,4368.532,4770.024,5047.329,3558.358,5590.327,0.0,0.0,1.0,4000,219.362,0.0,0.0,446.238,558.604,0.0,558.604,0.5475,0.77775,0.0
c041_emotion_only_heavy_context_capture_stress_chat_only,emotion_only,heavy_context,capture_stress,chat_only,4000,1,4000,184.871,180.568,154.202,214.015,259.415,97.386,295.968,0.0015,1.0,0.0,4000,15.161,15.031,14.373,15.853,16.927,13.726,17.192,1.0,1.0,0.0,4000,4586.54,4605.816,4388.578,4790.692,5069.024,3540.647,5575.253,0.0,0.0,1.0,4000,4756.249,4778.668,4550.434,4961.46,5248.609,3714.136,5836.595,0.0,0.0,1.0,4000,4571.378,4591.007,4372.064,4775.512,5053.885,3524.804,5560.88,0.0,0.0,1.0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c042_emotion_only_heavy_context_capture_stress_donation_mix,emotion_only,heavy_context,capture_stress,donation_mix,4000,1,4000,184.413,180.149,152.993,214.063,257.548,96.292,294.215,0.00175,1.0,0.0,4000,15.15,15.031,14.373,15.853,16.927,13.726,17.192,1.0,1.0,0.0,4000,4579.522,4590.932,4384.918,4784.573,5064.189,3524.111,5665.924,0.0,0.0,1.0,4000,4748.784,4759.685,4552.021,4957.078,5242.341,3699.175,5853.743,0.0,0.0,1.0,4000,4564.372,4575.228,4369.394,4769.312,5048.29,3509.056,5650.336,0.0,0.0,1.0,4000,209.936,0.0,0.0,446.238,558.604,0.0,558.604,0.56825,0.78125,0.0
c043_emotion_only_stress_context_backend_ready_chat_only,emotion_only,stress_context,backend_ready,chat_only,4000,1,4000,18.876,18.775,17.491,20.193,22.178,14.03,24.83,1.0,1.0,0.0,4000,15.166,15.031,14.421,15.853,16.927,13.726,17.192,1.0,1.0,0.0,4000,6181.348,6196.886,5914.283,6467.451,6861.246,4722.043,7529.391,0.0,0.0,1.0,4000,6185.058,6201.458,5917.579,6471.992,6865.384,4727.879,7531.645,0.0,0.0,1.0,4000,6166.183,6182.306,5899.651,6452.059,6846.902,4706.036,7515.537,0.0,0.0,1.0,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
c044_emotion_only_stress_context_backend_ready_donation_mix,emotion_only,stress_context,backend_ready,donation_mix,4000,1,4000,18.851,18.764,17.444,20.175,22.149,14.171,24.493,1.0,1.0,0.0,4000,15.151,14.909,14.373,15.853,16.927,13.726,17.192,1.0,1.0,0.0,4000,6197.816,6223.966,5929.587,6488.333,6858.482,4675.446,7728.695,0.0,0.0,1.0,4000,6201.517,6227.963,5932.558,6491.408,6864.042,4681.247,7731.632,0.0,0.0,1.0,4000,6182.665,6208.422,5914.529,6472.647,6844.03,4660.887,7711.983,0.0,0.0,1.0,4000,216.345,0.0,0.0,446.238,558.604,0.0,558.604,0.5525,0.78425,0.0
