sample,case_no,condition,n,Overall_mean,Overall_sd,Overall_median,Perceived Latency_mean,Perceived Latency_sd,Perceived Latency_median,Conversational Naturalness_mean,Conversational Naturalness_sd,Conversational Naturalness_median,Reaction Appropriateness_mean,Reaction Appropriateness_sd,Reaction Appropriateness_median,Social Presence_mean,Social Presence_sd,Social Presence_median,Character Appeal_mean,Character Appeal_sd,Character Appeal_median,Engagement_mean,Engagement_sd,Engagement_median
all_n32,1,Grounded,32,4.950892857142858,1.105739038649334,4.928571428571429,5.46875,0.9977012108307727,5.5,4.75,1.4864983751605108,5.0,4.833333333333333,1.1039193778675784,5.0,5.296875,1.2434303163478455,5.0,4.4375,1.5747503642410816,4.25,4.71875,1.528954418190165,5.0
all_n32,2,Emotion Only,32,4.908482142857143,1.2429173107688305,4.928571428571429,5.239583333333334,1.3285785515888535,5.166666666666666,4.84375,1.6580084244309108,5.0,4.791666666666666,1.2493726024055343,4.666666666666667,5.265625,1.307449962035185,5.25,4.671875,1.7255638395945045,5.0,4.53125,1.6749458344636392,4.75
all_n32,3,Intent Only,32,4.810267857142858,0.951698764411836,4.678571428571429,5.260416666666667,1.0463603928305907,5.333333333333333,4.578125,1.2895946787591328,5.0,4.927083333333333,0.8869195815213584,4.833333333333334,5.3125,1.3839517985266543,5.5,4.046875,1.5364358368136177,4.5,4.453125,1.4162614062974892,4.5
all_n32,4,Neutral Random,32,4.689732142857142,1.295864869005578,4.821428571428571,5.125,1.0326220236502797,4.666666666666667,4.296875,1.4748393843661145,4.5,4.729166666666666,1.3318203781716442,4.833333333333334,4.859375,1.530519493294626,5.25,4.5625,1.8305208143074754,5.0,4.328125,1.7762291291820542,4.5
all_n32,5,SlowTrack Only,32,4.477678571428571,1.28295113990613,4.464285714285714,4.708333333333334,1.423685962714428,4.833333333333334,4.25,1.6607421582319852,4.5,4.739583333333333,1.1935741181959503,4.833333333333334,4.78125,1.5499089463370046,5.0,4.09375,1.7935255423237613,4.25,4.046875,1.7522307211095234,4.0
