sample,case_no,condition,n,best_flow_yes,best_flow_pct,most_uncomfortable_yes,most_uncomfortable_pct,best_context_reaction_yes,best_context_reaction_pct
english_ge4,1,Grounded,19,10,52.63157894736842,8,42.10526315789473,10,52.63157894736842
english_ge4,2,Emotion Only,19,11,57.89473684210527,3,15.789473684210526,11,57.89473684210527
english_ge4,3,Intent Only,19,13,68.42105263157895,4,21.052631578947366,14,73.68421052631578
english_ge4,4,Neutral Random,19,9,47.368421052631575,3,15.789473684210526,10,52.63157894736842
english_ge4,5,SlowTrack Only,19,6,31.57894736842105,10,52.63157894736842,7,36.84210526315789
