id	emotion	style_tag	carrier	duration_s	latency_ms	audio_path
neutral_high-pitched_02	neutral	high-pitched	Mm.	0.639	145.965	audio/neutral/high-pitched/neutral_high-pitched_02.wav
neutral_high-pitched_03	neutral	high-pitched	Oh.	0.476	68.429	audio/neutral/high-pitched/neutral_high-pitched_03.wav
neutral_playful_01	neutral	playful	Hm.	0.58	68.564	audio/neutral/playful/neutral_playful_01.wav
neutral_playful_02	neutral	playful	Mm.	0.557	66.001	audio/neutral/playful/neutral_playful_02.wav
neutral_playful_03	neutral	playful	Oh.	0.488	74.823	audio/neutral/playful/neutral_playful_03.wav
neutral_energetic_01	neutral	energetic	Hm.	0.569	65.349	audio/neutral/energetic/neutral_energetic_01.wav
neutral_energetic_02	neutral	energetic	Mm.	0.557	69.842	audio/neutral/energetic/neutral_energetic_02.wav
neutral_energetic_03	neutral	energetic	Oh.	0.464	74.939	audio/neutral/energetic/neutral_energetic_03.wav
neutral_smug_01	neutral	smug	Hm.	0.615	64.683	audio/neutral/smug/neutral_smug_01.wav
neutral_smug_02	neutral	smug	Mm.	0.534	65.377	audio/neutral/smug/neutral_smug_02.wav
neutral_smug_03	neutral	smug	Oh.	0.522	74.739	audio/neutral/smug/neutral_smug_03.wav
neutral_cute_01	neutral	cute	Hm.	0.615	66.947	audio/neutral/cute/neutral_cute_01.wav
neutral_cute_02	neutral	cute	Mm.	0.58	64.079	audio/neutral/cute/neutral_cute_02.wav
neutral_cute_03	neutral	cute	Oh.	0.499	76.983	audio/neutral/cute/neutral_cute_03.wav
